Date,Close,High,Low,Open,Volume,MA10,MA20,Return,Target,RSI
2020-01-31,628.599609375,647.1238564671794,626.6180767993984,647.0125063572486,34750310,666.2292236328125,674.8946563720704,-0.0222338595345806,616.9552001953125,
2020-02-03,616.9552001953125,623.3897268292178,606.9583616221806,610.0086294911721,30712290,659.6900756835937,672.3119445800781,-0.0185243659175436,635.167724609375,
2020-02-04,635.167724609375,637.8840014691701,622.4323157911366,623.411935184783,25383901,654.9031616210938,670.1255493164062,0.0295200111909208,645.0086669921875,
2020-02-05,645.0086669921875,646.9234370233874,636.9043647870463,638.9526598272524,18472100,651.1248352050782,668.6861328125,0.0154934547231042,649.1499633789062,
2020-02-06,649.1499633789062,653.2466727335321,641.268301219584,647.5024215657478,15538577,648.0500793457031,666.6778533935546,0.0064205282791478,638.3960571289062,
2020-02-07,638.3960571289062,646.7230591514594,636.0137118794914,646.1218993889739,12209212,644.1359436035157,664.1396759033203,-0.0165661354951397,639.2644653320312,
2020-02-10,639.2644653320312,643.6728717218461,628.0653070065835,635.8802065407942,15142476,640.9765869140625,661.732861328125,0.0013602969401635,646.9012451171875,
2020-02-11,646.9012451171875,652.8904307204514,643.4724582072458,644.5188995976021,13999816,640.1305297851562,660.0262725830078,0.011946197855984,654.716064453125,
2020-02-12,654.716064453125,656.7421844770341,647.9030790730019,648.4151825290611,13533565,639.7052612304688,658.8339935302735,0.0120803900053119,656.4304809570312,
2020-02-13,656.4304809570312,658.0335539553153,651.2873305313852,658.0335539553153,13565659,641.0589477539063,657.4146179199219,0.0026185648970418,662.4197387695312,
2020-02-14,662.4197387695312,668.5870368609382,647.0570496970056,657.8109261027595,21227841,644.4409606933593,655.335092163086,0.0091239788313426,658.256103515625,
2020-02-17,658.256103515625,670.6798134931099,656.4972119467257,663.0430280450569,13149130,648.5710510253906,654.1305633544922,-0.0062854939402022,653.4247436523438,
2020-02-18,653.4247436523438,657.2097556655767,648.97180932506,657.2097556655767,11127161,650.3967529296875,652.6499572753906,-0.0073396354966978,669.6334228515625,
2020-02-19,669.6334228515625,670.8134485862718,656.8534867255756,658.7459628812005,14084409,652.859228515625,651.9920318603515,0.0248057321928454,661.6849365234375,69.7619156798907
2020-02-20,661.6849365234375,671.5036613641485,660.7275515499585,666.605445844099,16892268,654.1127258300781,651.0814025878906,-0.01186990681301,643.4279174804688,64.80077238041046
2020-02-24,643.4279174804688,657.699577615814,641.0233376549481,654.4711971958799,21370214,654.6159118652344,649.375927734375,-0.0275917102464098,630.7147827148438,61.18110110370222
2020-02-25,630.7147827148438,646.3000526686237,627.8648619763386,646.3000526686237,27745062,653.7609436035157,647.368765258789,-0.0197584444507894,619.849609375,48.02761453201771
2020-02-26,619.849609375,628.911356956024,617.779020325235,627.8649155292255,29362748,651.0557800292969,645.5931549072266,-0.0172267618226352,617.2891235351562,38.95625540524755
2020-02-27,617.2891235351562,620.6510881290094,609.6077499205786,618.0683364567957,25054993,647.3130859375,643.5091735839844,-0.0041308178647164,591.6401977539062,35.81763606981745
2020-02-28,591.6401977539062,604.2643163833105,590.0148903377343,603.3291656588368,39315769,640.8340576171875,640.9465026855469,-0.041550911563711,586.0740966796875,31.624097694184655
2020-03-02,586.0740966796875,609.6078528086264,579.3724007114388,603.4182603911414,29500495,633.1994934082031,638.8202270507812,-0.0094079156476348,597.96337890625,29.839651069771705
2020-03-03,597.96337890625,602.8838887991839,588.6789907987993,592.1077777316948,27398798,627.1702209472656,637.8706359863281,0.0202863124200838,596.5606689453125,32.030701624636606
2020-03-04,596.5606689453125,602.8393168736188,582.4003001293128,602.0378101189941,22105261,621.4838134765625,635.940283203125,-0.0023458124868838,583.8475341796875,27.590939836290886
2020-03-05,583.8475341796875,604.6873035839145,581.5542452021383,602.126845697354,30510390,612.905224609375,632.8822265625,-0.0213107156194207,565.9689331054688,24.217002309891427
2020-03-06,565.9689331054688,573.6057788366949,552.654658716733,565.5236515774449,33734039,603.3336242675781,628.7231750488281,-0.0306220374799361,496.1245422363281,18.40718219054733
2020-03-09,496.1245422363281,552.6101067897556,487.5971635409846,552.1870596312644,88187018,588.6032867431641,621.6095993041993,-0.1234067574803174,513.669189453125,12.869640090269215
2020-03-11,513.669189453125,524.7569973633897,493.3860202311153,493.3860202311153,59578576,576.8987274169922,615.3298355102539,0.035363393106321,473.3477783203125,19.755218245393053
2020-03-12,473.3477783203125,490.26895266015714,466.9800738655829,483.1442695776424,55970485,562.2485443115235,606.6521621704102,-0.0784968457534711,492.1837158203125,11.535773191067435
2020-03-13,492.1837158203125,507.6354013912499,419.645302009186,444.4036392808858,73297403,549.738003540039,598.5255447387696,0.03979301976834,452.2853698730469,18.143773020878385
2020-03-16,452.2853698730469,480.7841915779576,447.5207086747309,472.2568121164352,38482258,535.8025207519531,588.3182891845703,-0.0810639293109644,448.8566284179688,16.778880747420146
2020-03-17,448.8566284179688,472.0119237181846,446.7192174587202,466.3344054216944,45445979,522.0807739257813,577.6401336669921,-0.0075809249723034,431.26751708984375,17.338445797235025
2020-03-18,431.26751708984375,461.2803576562569,427.9278160593616,456.560224275454,44730415,505.4111877441407,566.2907043457031,-0.0391864800796621,408.64654541015625,16.929558705288912
2020-03-19,408.64654541015625,430.5995508438921,397.2915384995935,409.715250893795,61404010,486.619775390625,554.0517944335937,-0.0524522965057323,453.2872619628906,15.816731521945428
2020-03-20,453.2872619628906,460.8349919401429,414.1236220114131,418.3539154289049,63360475,473.5637481689453,543.2344863891601,0.1092404109471394,393.6624145507813,28.660705065089445
2020-03-23,393.6624145507813,423.0295668803202,389.92193040058896,407.9786036891489,40670949,456.3330963134766,529.8333602905274,-0.1315387667279973,420.090576171875,24.564387707728642
2020-03-24,420.090576171875,431.9353918898189,398.8945807634273,414.1236252972025,45734887,448.7296997070313,518.6664932250976,0.06713407387711,481.9196472167969,27.35672022441669
2020-03-25,481.9196472167969,512.7785178891949,428.9296612692312,429.17456609975056,73130298,445.5547454833985,511.2267364501953,0.1471803333660721,474.772705078125,37.351996361039554
2020-03-26,474.772705078125,497.34913321338615,464.1524430486921,487.9534251497577,45744488,445.6972381591797,503.97289123535154,-0.0148301530762383,474.5055541992188,37.81645925600501
2020-03-27,474.5055541992188,493.0743302616386,465.86685415365895,487.5972184603352,41657940,443.9294219970704,496.8337127685547,-0.0005626921599509,458.8534240722656,39.36522907321103
2020-03-30,458.8534240722656,478.6022243792753,454.2001132600208,463.37318015277566,30229866,444.5862274169922,490.1943740844727,-0.0329861894943841,495.9465026855469,45.04146847562731
2020-03-31,495.9465026855469,503.0934503060109,466.6684068629954,478.2237906959417,44292810,449.29521484375,485.6879943847656,0.0808386222425561,481.1181335449219,47.75875886607757
2020-04-01,481.1181335449219,500.7778469800412,465.4215146670381,499.73140572151567,41597459,454.2802764892578,479.8457321166992,-0.0298991303705732,479.78228759765625,51.05037851645312
2020-04-03,479.78228759765625,505.1640794985781,470.3643151321363,505.1640794985781,41367807,461.3938507080078,474.0068130493164,-0.0027765445825601,537.0693359375,48.24035052865261
2020-04-07,537.0693359375,540.5871191109118,489.8236031363708,490.7587239777516,54373624,469.7720581054688,471.667903137207,0.1194021743209587,530.8574829101562,61.46435145887555
2020-04-08,530.8574829101562,547.2666119015739,516.5412959187852,525.4471639311407,49880330,483.49156494140624,469.9123306274414,-0.0115662031169596,543.2366333007812,61.00519237883166
2020-04-09,543.2366333007812,548.9586489969397,531.2359703282597,540.5871192951221,33032857,495.80617065429686,472.267935180664,0.0233191596410444,529.5216674804688,65.24030727483168
2020-04-13,529.5216674804688,541.0325221376103,525.4471928092958,536.1120125498173,23673784,500.5663726806641,473.06055908203126,-0.0252467616864835,512.021484375,66.86130839975684
2020-04-15,512.021484375,550.3835821752366,508.971217183393,533.039363894497,35321842,504.29125061035154,474.9942443847656,-0.0330490406346105,520.1259765625,58.864237183514845
2020-04-16,520.1259765625,528.7646769192855,509.8619687316648,512.0216140957893,37455706,508.85329284667966,476.391357421875,0.0158284221166866,545.0401000976562,72.60066231955827
2020-04-17,545.0401000976562,547.7119081332823,531.0801379395491,541.477788467049,33269335,517.4719604492187,481.0290939331055,0.0479001716080651,553.85693359375,72.45158237926742
2020-04-20,553.85693359375,559.7347681895708,535.2436321732976,545.9306852340615,36030932,523.2630035400391,486.2791091918945,0.01617648590354,550.9847412109375,65.96816745772256
2020-04-21,550.9847412109375,557.5082632503704,518.3224245172161,538.8059068072215,61371628,530.2496643066406,492.2649703979493,-0.0051858019799012,607.2031860351562,67.2443042303067
2020-04-22,607.2031860351562,616.6879797457742,578.8825082607582,587.7883765401166,142683366,542.9917541503906,502.1928024291992,0.1020326709967749,610.453857421875,73.95880719386403
2020-04-23,610.453857421875,617.1110242514935,602.6166648338456,608.8730782936495,65464502,550.3302062988281,510.0511322021485,0.0053535150366132,630.98193359375,78.6549745045846
2020-04-24,630.98193359375,665.6926093550011,599.9003914322975,601.2140016546114,134986308,560.3426513671875,521.9171081542969,0.0336275640202701,636.6594848632812,77.2290300320225
2020-04-27,636.6594848632812,656.809040623181,633.6537450993618,638.5519612553153,58482901,569.6849365234375,532.7455535888672,0.0089979616962958,635.947021484375,82.56572562100234
2020-04-28,635.947021484375,648.1035053145215,619.9164097345322,645.6766910891598,78453401,580.3274719238282,540.4469223022461,-0.0011190650510126,635.4125366210938,82.78181553081853
2020-04-29,635.4125366210938,647.3019093275574,632.3177410324345,643.405607041887,37494672,592.6665771484375,548.4789138793946,-0.0008404550146861,652.8013305664062,77.10142402087843
2020-04-30,652.8013305664062,665.6926172797448,640.3553848329962,647.4355395070829,71345899,605.9341125488281,557.393702697754,0.0273661486721368,639.0862426757812,81.65523889317382
2020-05-04,639.0862426757812,652.3559877170559,631.1822287393294,641.2236532680045,53456868,615.3387268066406,566.4053436279297,-0.0210095893627009,650.4189453125,74.71008449640458
2020-05-05,650.4189453125,658.5901284085901,644.4297604788242,647.3242091452047,44903763,624.9949279785156,574.1289657592773,0.0177326656090577,650.4635620117188,81.55497688633122
2020-05-06,650.4635620117188,661.2396721044524,643.6728107196592,651.9107566845831,40489094,634.9428100585938,582.5962371826172,6.85968628992839e-05,671.0361328125,89.75695034787233
2020-05-07,671.0361328125,674.0196380436263,643.4501981639638,647.9031324834183,50026966,641.3261047363281,592.1589294433594,0.0316275530287284,695.4605102539062,90.44144009756276
2020-05-08,695.4605102539062,703.5202838378564,684.4617003890888,687.9795431758226,84262770,649.8267700195313,600.0784881591796,0.0363980063771482,702.1400146484375,90.41628401248983
2020-05-11,702.1400146484375,719.1502462326481,700.1361881322265,703.5649156731971,67085063,656.942578125,608.6426147460937,0.0096044337472054,658.7014770507812,90.3049310154214
2020-05-12,658.7014770507812,698.3772514173569,652.3560664564766,696.79641276918,100683202,659.14677734375,614.4158569335938,-0.0618659194625248,672.677001953125,73.9884534488369
2020-05-13,672.677001953125,686.4096865474885,653.5950534044931,686.4096865474885,66430125,662.819775390625,621.5736236572266,0.0212167808776089,645.4813232421875,67.9601780475644
2020-05-14,645.4813232421875,672.7893884091039,642.8291930409412,660.3377943598729,49266771,663.8266540527344,628.246615600586,-0.0404290300277466,656.0224609375,58.4927433800139
2020-05-15,656.0224609375,659.3039301915819,636.1089238922658,649.0999085460102,62152260,664.1487670898438,635.0414398193359,0.0163306625858132,647.6389770507812,56.38030383050882
2020-05-18,647.6389770507812,666.181474909855,641.9076865534937,660.7873261418357,62796089,665.0040405273437,640.1713836669921,-0.0127792634946343,633.3218994140625,52.7595127470688
2020-05-19,633.3218994140625,657.0563561877386,630.7821895369445,654.9436171986698,42315854,663.2943359375,644.1446319580078,-0.0221065719390699,644.469970703125,49.38245086456879
2020-05-20,644.469970703125,650.3810982575258,626.1746653038855,633.8164459231173,55320985,662.6949768066406,648.8188934326172,0.017602535613211,647.86376953125,52.029384550710624
2020-05-21,647.86376953125,656.9439458804737,640.5591310175457,645.054274887475,39167981,660.3777404785156,650.8519226074219,0.0052660309749146,643.5034790039062,48.81968115327118
2020-05-22,643.5034790039062,655.3931503743523,641.233434844536,652.6061872445827,37828973,655.1820373535156,652.5044036865235,-0.0067302583234413,640.132080078125,51.105373705876396
