Date,Close,High,Low,Open,Volume
2020-01-01,672.2161254882812,680.0087898882745,670.3904712564104,675.9566091562889,14004468
2020-01-02,683.6602172851562,686.1761470483035,673.2848606187108,673.2848606187108,17710316
2020-01-03,684.4840698242188,686.4878962665452,678.1831277621862,682.6360622006584,20984698
2020-01-06,668.609375,680.3651059474896,667.0508300218751,676.8473220199032,24519177
2020-01-07,678.8956909179688,683.3040975466399,673.952886932682,676.4019951208164,16683622
2020-01-08,673.7969970703125,683.2817317108661,672.3943304886236,674.6207976476823,16047902
2020-01-09,689.3154907226562,690.206053788195,681.8568169732863,685.1297254143482,14982742
2020-01-10,689.1596069335938,693.7461255846073,685.5972357997355,691.0520831577536,12478359
2020-01-13,687.4006958007812,694.0800969009713,685.0406443123888,688.0018555733295,18282382
2020-01-14,681.0330200195312,690.2060574437152,677.6710552541097,685.7531231921615,15816535
2020-01-15,678.5617065429688,685.7086841864183,676.068070171922,683.9052640096224,15817859
2020-01-16,684.8179931640625,687.244866778881,680.4095869331176,680.8549279318096,12847975
2020-01-17,704.0101928710938,705.7690846391494,691.6310096398801,691.7645940988411,29463471
2020-01-20,682.3466796875,716.4784927540825,679.6971651864098,716.4784927540825,32545850
2020-01-21,683.0369873046875,688.358251372714,677.7379575929358,680.6769352314369,18922720
2020-01-22,682.7919311523438,688.7588822425179,681.7900179448524,687.534328261155,10322817
2020-01-23,679.8975219726562,686.6214514994721,677.1589513580537,684.1945779592724,11247739
2020-01-24,677.5375366210938,684.1278823316969,676.2016324357799,679.9643509483909,14628445
2020-01-27,670.8580322265625,678.8288097703885,670.1678160991427,674.5762817936037,13387750
2020-01-28,655.36181640625,672.3943409712025,651.7326826089246,671.7708873528463,24532236
2020-01-29,658.96875,665.4477454950623,651.9330633649719,656.385997983268,24746565
2020-01-30,642.8935546875,658.9018717010598,641.2237192109507,658.5901746274501,22402689
2020-01-31,628.5996704101562,647.123919300985,626.6181376421537,647.0125691802425,34750310
2020-02-03,616.9551391601562,623.3896651574961,606.9583015760081,610.0085691432375,30712290
2020-02-04,635.1676635742188,637.8839401729988,622.4322559797637,623.4118752792756,25383901
2020-02-05,645.0086669921875,646.9234370233874,636.9043647870463,638.9526598272524,18472100
2020-02-06,649.1499633789062,653.2466727335321,641.268301219584,647.5024215657478,15538577
2020-02-07,638.3961791992188,646.723182814012,636.0138334942661,646.1220229365763,12209212
2020-02-10,639.2643432617188,643.6727488097293,628.0651870747986,635.8800851167206,15142476
2020-02-11,646.9012451171875,652.8904307204514,643.4724582072458,644.5188995976021,13999816
2020-02-12,654.7161865234375,656.742306925112,647.9031998730488,648.4153034245885,13533565
2020-02-13,656.4304809570312,658.0335539553153,651.2873305313852,658.0335539553153,13565659
2020-02-14,662.419677734375,668.5869752575289,647.0569900773629,657.8108654922579,21227841
2020-02-17,658.2561645507812,670.6798756802237,656.4972728187931,663.0430895240688,13149130
2020-02-18,653.4246826171875,657.2096942768698,648.9717487058438,657.2096942768698,11127161
2020-02-19,669.6334228515625,670.8134485862718,656.8534867255756,658.7459628812005,14084409
2020-02-20,661.6849975585938,671.5037233050037,660.7276124968037,666.6055073331329,16892268
2020-02-24,643.4279174804688,657.699577615814,641.0233376549481,654.4711971958799,21370214
2020-02-25,630.7147827148438,646.3000526686237,627.8648619763386,646.3000526686237,27745062
2020-02-26,619.8494873046875,628.9112331011329,617.7788986626947,627.8647918804157,29362748
2020-02-27,617.2891845703125,620.6511494965837,609.6078101962304,618.0683975689975,25054993
2020-02-28,591.64013671875,604.264254045817,590.014829470249,603.329103417816,39315769
2020-03-02,586.0740966796875,609.6078528086264,579.3724007114388,603.4182603911414,29500495
2020-03-03,597.96337890625,602.8838887991839,588.6789907987993,592.1077777316948,27398798
2020-03-04,596.5607299804688,602.8393785511545,582.400359715697,602.0378717145262,22105261
2020-03-05,583.8475341796875,604.6873035839145,581.5542452021383,602.126845697354,30510390
2020-03-06,565.9689331054688,573.6057788366949,552.654658716733,565.5236515774449,33734039
2020-03-09,496.1246032714844,552.610174773984,487.59722352706973,552.187127563448,88187018
2020-03-11,513.669189453125,524.7569973633897,493.3860202311153,493.3860202311153,59578576
2020-03-12,473.3478088378906,490.26898426867365,466.9801039726238,483.14430072681785,55970485
2020-03-13,492.1837463378906,507.6354328669012,419.64532802906,444.40366683588684,73297403
2020-03-16,452.2853698730469,480.78419157795764,447.5207086747309,472.2568121164352,38482258
2020-03-17,448.85662841796875,472.0119237181846,446.7192174587202,466.3344054216944,45445979
2020-03-18,431.2674560546875,461.280292373532,427.9277554968568,456.5601596607462,44730415
2020-03-19,408.6465759277344,430.5995830009128,397.2915681691837,409.7152814911836,61404010
2020-03-20,453.28729248046875,460.8350229658722,414.123649892298,418.35394359459445,63360475
2020-03-23,393.6623840332031,423.02953408613564,389.9219001729814,407.9785720617482,40670949
2020-03-24,420.090576171875,431.9353918898189,398.8945807634273,414.1236252972025,45734887
2020-03-25,481.9197082519531,512.7785828326291,428.9297155932021,429.17462045473866,73130298
2020-03-26,474.7726745605469,497.3491012446338,464.1524132137663,487.95339378494543,45744488
2020-03-27,474.5055236816406,493.0742985498193,465.86682419167437,487.59718710077345,41657940
2020-03-30,458.8534240722656,478.6022243792753,454.2001132600208,463.37318015277566,30229866
2020-03-31,495.9464416503906,503.09338839129396,466.6683494310366,478.2237318418846,44292810
2020-04-01,481.1181640625,500.7778787446454,465.42154418897144,499.7314374197435,41597459
2020-04-03,479.78228759765625,505.1640794985781,470.3643151321363,505.1640794985781,41367807
2020-04-07,537.0693359375,540.5871191109118,489.8236031363708,490.7587239777516,54373624
2020-04-08,530.8575439453125,547.2666748233642,516.5413553079427,525.4472243442474,49880330
2020-04-09,543.2366943359375,548.9587106749909,531.2360300150857,540.5871800325931,33032857
2020-04-13,529.5216064453125,541.0324597756588,525.4471322437827,536.111950755027,23673784
2020-04-15,512.021484375,550.3835821752366,508.97121718339304,533.039363894497,35321842
2020-04-16,520.1259765625,528.7646769192855,509.8619687316648,512.0216140957893,37455706
2020-04-17,545.0401000976562,547.7119081332823,531.0801379395491,541.477788467049,33269335
2020-04-20,553.8569946289062,559.7348298724658,535.2436911572639,545.9307453957434,36030932
2020-04-21,550.9848022460938,557.5083250081677,518.3224819342147,538.8059664932713,61371628
2020-04-22,607.203125,616.6879177572206,578.8824500723541,587.788317456508,142683366
2020-04-23,610.4537963867188,617.1109625507321,602.6166045822772,608.8730174165447,65464502
2020-04-24,630.9819946289062,665.692673747736,599.9004494609227,601.2140598103026,134986308
2020-04-27,636.659423828125,656.8089776563307,633.6536843523593,638.5519000387314,58482901
2020-04-28,635.947021484375,648.1035053145215,619.9164097345322,645.6766910891598,78453401
2020-04-29,635.41259765625,647.3019715047586,632.3178017703171,643.4056688448253,37494672
2020-04-30,652.8013305664062,665.6926172797448,640.3553848329962,647.4355395070829,71345899
2020-05-04,639.0863037109375,652.3560500195231,631.1822890196224,641.2237145072914,53456868
2020-05-05,650.4190063476562,658.5901902105282,644.4298209519568,647.3242698899517,44903763
2020-05-06,650.4635620117188,661.2396721044524,643.6728107196592,651.9107566845831,40489094
2020-05-07,671.0361328125,674.0196380436263,643.4501981639638,647.9031324834183,50026966
2020-05-08,695.4606323242188,703.520407322856,684.4618205288415,687.9796639330426,84262770
2020-05-11,702.1399536132812,719.1501837188379,700.1361272712575,703.564854514178,67085063
2020-05-12,658.7014770507812,698.3772514173569,652.3560664564766,696.79641276918,100683202
2020-05-13,672.6770629882812,686.409748828676,653.5951127082542,686.409748828676,66430125
2020-05-14,645.481201171875,672.789261174422,642.8290714721867,660.3376694799763,49266771
2020-05-15,656.0223999023438,659.3038688511236,636.1088647098294,649.0998481549159,62152260
2020-05-18,647.6390380859375,666.1815376925038,641.9077470485184,660.7873884161261,62796089
2020-05-19,633.3218994140625,657.0563561877386,630.7821895369445,654.9436171986698,42315854
2020-05-20,644.4699096679688,650.3810366625504,626.1746060014038,633.8163858969135,55320985
2020-05-21,647.86376953125,656.9439458804737,640.5591310175457,645.054274887475,39167981
2020-05-22,643.5035400390625,655.3932125372227,641.2334956643825,652.6062491431145,37828973
2020-05-26,640.132080078125,651.6621368125705,636.6483020759156,650.9653812121286,33216635
2020-05-27,649.7966918945312,653.5950802585778,634.7154397533718,643.2562252592883,35667956
2020-05-28,661.798583984375,665.1699412772783,651.3473704313622,654.0444443756592,40126278
2020-05-29,658.2699584960938,661.68626027676,652.9881710532761,659.8881910632169,40022527
2020-06-01,683.4204711914062,691.5117545227077,663.4619881609007,665.2825298829506,39943702
2020-06-02,690.3203735351562,692.2533351438987,683.6226027052328,685.9601224657711,22153960
2020-06-03,692.9950561523438,701.2436433909791,689.2640251716484,694.5009280550352,25381289
2020-06-04,710.1441650390625,714.5044764477512,692.7029788544525,694.0514864853873,34202350
2020-06-05,710.9981689453125,727.3155677405333,707.4020299835134,716.976712812966,33076685
2020-06-08,705.5140991210938,727.4954324920736,703.4913080333477,727.4954324920736,31414953
2020-06-09,690.97216796875,711.5824583092239,689.1066823058262,701.3784378119412,25857161
2020-06-10,706.7052612304688,710.0316745660456,692.2758220092561,693.6468015444327,22132647
